values(from old to newest) 8.03 is after 1.65 and 2.34
2.34
1.65
8.03
2.4
1.12
1.22
1.74
3.29
1.56
1.56
1.66
2.48
1.34
1.97
1.41
1.01
1.63
1.23
1.97
1.22
1
1.77
1.19
1.56
1.11
1.34
1.45
1.04
1.56
1.54
28.97
2.87
1.05
1.05
1.66
114.93
1.03
11.76
1.47
3.44
1.24
1.34
1.43
7.91
2.26
5.66
1.02
13.91
3.01
1.58
2.38
3.15
1.14
2.87
1
1.24
1.43
1.52
3.26
2.71
1
9.82
1.1
6.79
2.03
1.37
7.02
1.28
1.16
5.63
1
3.08
8.92
1.04
1.48
1.68
3.12
1.9
5.29
1.07
1.19
10.4
2.55
5.91
2.6
1.45
1.1
2.41
1.53
1.93
3.93
15.39
1.2
6.1
1.24
33.19
39.1
1.05
5.61
4.07
1.07
1.19
2.11
2.39
2.75
1
5.28
13.48
1.32
1.07
13.49
1.04
1.11
14.32
1.43
1.15
26.62
1.37
1.21
3.15
5.94
24.4
3.67
1.06
6.3
1.33
1.97
1
1.13
1.85
2.32
2.23
1.56
3.16
1.94
1.92
2.09
3.18
1.55
1.38
1
5.15
1.5
2.15
52.97
4.42
1.19
2.76
1.35
1.48
24.19
1.7
1.17
9.88
2.76
1.16
4.18
4.88
2.38
13.08
1.71
3.74
6.22
1
1.88
1.29
5.84
10.77
1.09
8
1.25
3.22
1.69
1.48
1.23
7.46
9.17
1.99
1.54
1.15
4.95
1.25
1.13
1.24
26.69
3.29
1.73
1
3.52
5.83
2.42
1.39
1.72
5.41
5.13
1.11
2.74
12.02
1.63
1.36
2.53
4.17
1.2
3.45
2.03
4.05
1.82
2.78
1.82
10.38
1.11
1.05
1.07
1.67
1.07
2.96
4.54
1.17
1.27
1.11
1.4
1.42
3.33
1.72
16.14
2.14
3.85
5.78
1.91
1.46
4.05
2.66
1.76
1
19.34
1.67
3.44
1.12
2.53
23.32
1.62
1.31
1.51
1.7
8.42
1.19
2.62
734.55
1.24
2.56
18.01
1.26
1.52
1.25
1.43
27.2
1.16
1.15
2.67
2.01
1.33
1
1.39
1.1
1.7
1.72
7.23
1
1.39
2.91
1.39
2.43
1.56
1.04
3.02
3.14
1.6
1.82
3.92
7.46
2.35
32.97
24.44
5.36
1.44
2.45
1.01
1.53
15.12
5.88
4.71
1.06
2.9
28.84
6.1
1.37
4.3
1.14
2.06
9.12
1.24
3.36
1.76
5.04
2.41
5.05
2.07
2.36
10.5
4.68
1.1
1.81
1.56
1.18
1.1
1.05
1.56
1.35
2.64
2.77
3.12
2.48
3.25
8.62
6.76
15.96
1
14.98
5.32
1.03
3.68
1.09
1.27
1.58
3.04
1.53
1.92
1.54
1
1.34
1.54
1.39
1.04
1.01
1.24
6.16
1.01
4.81
1.78
1.42
3.22
4.18
1.32
5.4
7.9
2.37
1.06
8.17
1.44
2.2
1.55
1.03
1.05
1.83
1
1.57
2.89
2.75
1.61
7.32
4.51
1.55
1.69
44.48
1
1.13
8.48
10.28
1.46
4.08
1.17
3.03
3.24
2.35
9
27.41
13.06
7.89
2.47
8.47
4.2
1.24
12.75
8.51
4.56
1.13
2.59
10.33
2.64
3.01
3.45
4.89
7.74
1.01
519.26
17.15
